"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PFIS","Peoples Financial Services Corp. ","39.42","$297.56M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pfis",
"PBCT","People&#39;s United Financial, Inc.","15.13","$4.66B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pbct",
"PRCP","Perceptron, Inc.","11.6","$107.41M","1992","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/prcp",
"PPHM","Peregrine Pharmaceuticals Inc.","1.63","$296.79M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pphm",
"PPHMP","Peregrine Pharmaceuticals Inc.","23.75","$16.63M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pphmp",
"PWRD","Perfect World Co., Ltd.","18.73","$931.3M","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pwrd",
"PRFT","Perficient, Inc.","20.3","$698.82M","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/prft",
"PFMT","Performant Financial Corporation","4.23","$208.75M","2012","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/pfmt",
"PERF","Perfumania Holdings, Inc","5.41","$83.72M","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/perf",
"PSEM","Pericom Semiconductor Corporation","15.25","$340.94M","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/psem",
"PERI","Perion Network Ltd","3.55","$250.84M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/peri",
"PESI","Perma-Fix Environmental Services, Inc.","4.19","$48.05M","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/pesi",
"PTX","Pernix Therapeutics Holdings, Inc.","11.78","$452.19M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptx",
"PERY","Perry Ellis International Inc.","22.62","$350.66M","1993","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/pery",
"PRSN","Perseon Corporation","0.51","$20.24M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/prsn",
"PETS","PetMed Express, Inc.","15.22","$308.4M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/pets",
"PETM","PetSmart, Inc","82.91","$8.24B","1993","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/petm",
"PFSW","PFSweb, Inc.","11.17","$191.61M","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pfsw",
